subdomain,ip,source
0167836-openvpn.prebuilt-app.bizflycloud.vn,103.107.183.197,alienvault
6b656bb-nextcloud.prebuilt-app.bizflycloud.vn,103.56.157.68,hackertarget
6087d2d5d0eb92f1d843cd17.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
74c3b40-cwp.prebuilt-app.bizflycloud.vn,123.30.234.147,crtsh
kilimo-dev.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
2a76c6a-cwp.prebuilt-app.bizflycloud.vn,103.153.73.68,alienvault
bba1bee-openvpn.prebuilt-app.bizflycloud.vn,103.107.183.226,rapiddns
ea9243f-nextcloud.prebuilt-app.bizflycloud.vn,123.30.234.241,alienvault
0057598-jitsi.prebuilt-app.bizflycloud.vn,103.107.183.112,alienvault
97fb106-gitlab.prebuilt-app.bizflycloud.vn,103.107.182.244,rapiddns
6ab536b-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.209,alienvault
0b05944-magento.prebuilt-app.bizflycloud.vn,103.153.73.24,rapiddns
